created_at,id_str,text,retweet_count,favorite_count
Sun Jul 19 12:50:09 +0000 2020,1284832900127641603,"@enraje Origine:usa
Sauf erreur Floride.
Conseils pour le Corona.

Après... Un coup de Google image, hein...",0,0
Sun Jul 19 12:47:35 +0000 2020,1284832256088051713,"RT @l0losempai: Oki mes puces, j’ai besoin que vous partagiez et surtt que vs venez consommer au resto africain de ma sœur, la Case d’Aliêf…",668,0
Sun Jul 19 12:47:19 +0000 2020,1284832190753382401,@yapasnis Tu vas plus au bled à cause du corona ?,0,0
Sun Jul 19 12:47:17 +0000 2020,1284832180070277120,"RT @seguin_nathalie: La vérité est que la Covid-19 ns a été transmise par des ratons-laveurs. En preuve, il porte un masque et se lave trjs…",2485,0
Sun Jul 19 12:46:53 +0000 2020,1284832081864986624,Le Premier ministre algérien Abdelaziz Jarrad a confirmé que son pays vit dans une situation économique difficile r… https://t.co/gnyaJx0lz1,0,5
Sun Jul 19 12:46:06 +0000 2020,1284831882287489030,@ErricoGaya Sauf que j’étais pas sensé le faire en Belgique mais bon corona oblige hn,0,0
Sun Jul 19 12:45:40 +0000 2020,1284831772673540098,"Bon, je vais écouter un peu, en espérons que ça sera pas aussi chiant que ""radio corona"" https://t.co/XKIZvKVmoD",0,1
Sun Jul 19 12:44:23 +0000 2020,1284831451733729281,@yankishi @Claude64402068 @LitsaniChoukran et dire que c'est dû au corona que nous assistons aux dépréciations de nôtre monnaie est faux,0,0
Sun Jul 19 12:43:52 +0000 2020,1284831319550242816,"J’ai envie de bouger wallah mais le sud c’est miné, l’Espagne ça me soûle d’y aller, et + loin j’me dis si j’ai le corona j’suis tuba",0,1
Sun Jul 19 12:43:26 +0000 2020,1284831213618900994,Corona Vice Ruse”: le coup de gueule du collectif “Slam-Inné”. https://t.co/i3CNk0mTq3,0,2
Sun Jul 19 12:43:17 +0000 2020,1284831174418993152,RT @___MBK___: Y ma pas vu depuis le début du corona il va faire un infarctus https://t.co/87S2QnlvQM,20,0
Sun Jul 19 12:42:47 +0000 2020,1284831047524311040,"RT @Medical_Nomad_: National #Bird 🦅 
National #Animal 🦒 
&amp; National #Corona Patient 😬 https://t.co/NfOFznxUzn",5,0
Sun Jul 19 12:42:41 +0000 2020,1284831024707444738,On m'a dit de croire en l'amour mais vous êtes tous des chiens 🤷🏽‍♀️,0,1
Sun Jul 19 12:42:31 +0000 2020,1284830982336585728,"RT @julienbahloul: #Israel : selon les chiffres du ministère de la Santé, en une semaine, 106 personnes ont été contaminées par le #corona…",33,0
Sun Jul 19 12:42:23 +0000 2020,1284830945732956161,"RT @julienbahloul: #Israel : selon les chiffres du ministère de la Santé, en une semaine, 106 personnes ont été contaminées par le #corona…",33,0
Sun Jul 19 12:42:04 +0000 2020,1284830866133454848,Les jeunes Provençaux font la fête et se moquent du coronavirus  https://t.co/4HWaO9iffO,0,0
Sun Jul 19 12:41:57 +0000 2020,1284830840158064641,RT @Darhylovic: Cette année y’a trop de mort et je parle mm pas de corona etc en dehors de ça mm y’a trop de mort,2,0
Sun Jul 19 12:41:15 +0000 2020,1284830663296856066,"RT @W_Alhusseini: Emna Chargui a été condamnée mardi à 6 mois de prison ferme pour avoir partagé sur Facebook ""une sourate corona"", en imit…",542,0
Sun Jul 19 12:41:11 +0000 2020,1284830646481948672,"Le dimanche ne sert pas à préparer ses graphiques, mais plutôt à souffler, respirer, prendre l'air (malgré le Coron… https://t.co/8uFu1Jg8kx",0,0
Sun Jul 19 12:40:45 +0000 2020,1284830538147168259,@Lokmen92 Va boire de l'eau de bouteille avant que tu m'fasses une intoxication la ils mettent du chlore dans l'eau a cause du corona,0,0
Sun Jul 19 12:40:45 +0000 2020,1284830537564196865,RT @OlivierEkounda: @BBonny_M Je chassais le corona de mon périmètre 🤣🤣🤣,1,0
Sun Jul 19 12:40:18 +0000 2020,1284830422745124870,Cette année y’a trop de mort et je parle mm pas de corona etc en dehors de ça mm y’a trop de mort,2,2
Sun Jul 19 12:39:59 +0000 2020,1284830342583656448,y mreste 3symptome et jai tout ceux du corona #impatient😰,0,0
Sun Jul 19 12:39:59 +0000 2020,1284830341979660293,"@Coexister75 C'est une période stressante pour les f....,corona,Traoré,incendie.....courage phiphi !",0,0
Sun Jul 19 12:39:58 +0000 2020,1284830339190468609,"RT @julienbahloul: #Israel : selon les chiffres du ministère de la Santé, en une semaine, 106 personnes ont été contaminées par le #corona…",33,0
Sun Jul 19 12:39:52 +0000 2020,1284830315794530304,@MendoLaB1 @lequipe Mdr crétin fait 2 3 recherches sur le fonctionnement d'un virus type Corona! https://t.co/kLWT5Fq8Hp,0,0
Sun Jul 19 12:39:27 +0000 2020,1284830210672689152,"@GaylordFurniker @P6fmuVp0yV1Hzuc @Ryanair Oui ,mais attends un peu quand même,
Actuellement avec le corona,
C'est… https://t.co/0t95OJRimV",0,2
Sun Jul 19 12:39:07 +0000 2020,1284830126350491654,"@julienbahloul Bref mon juju 
Soyons soudés au lieu de débattre sur la fermeture des synagogues 
Je sens que ce déb… https://t.co/rO4MJtLisZ",0,3
Sun Jul 19 12:38:56 +0000 2020,1284830079529484288,RT @madamebretzel: Ok alors surtout restez-y et venez pas nous ramener le corona ou vos touristes crades et malpolis qui laissent leur déch…,83,0
Sun Jul 19 12:38:31 +0000 2020,1284829975355564032,Algérie: les entreprises publiques subissent des pertes supérieures à 879 millions d'euros en raison du virus Corona https://t.co/6QF5OCSHZr,1,2
Sun Jul 19 12:37:55 +0000 2020,1284829821986627590,Aux États-Unis 61000 nouveaux cas testés positifs au COVID19 CORONA VIRUS une baisse par rapport aux 77000 cas d'avant-hier,0,0
Sun Jul 19 12:37:51 +0000 2020,1284829805318418433,Je crois que j’ai le corona omg mais je rigole pas j’ai trop peur,0,0
Sun Jul 19 12:37:24 +0000 2020,1284829691724128258,"Allemagne: épidémie de #COVID19 dans une autre usine de viande

https://t.co/1McUcMPDha",1,0
Sun Jul 19 12:36:54 +0000 2020,1284829565689438208,RT @madamebretzel: Ok alors surtout restez-y et venez pas nous ramener le corona ou vos touristes crades et malpolis qui laissent leur déch…,83,0
Sun Jul 19 12:36:49 +0000 2020,1284829544403423232,@RifdeFrance @zemmourFanqlf Ptdrrr t bnia tu penses à ça moi je croyais elle avait le corona esh,0,1
Sun Jul 19 12:36:08 +0000 2020,1284829374362132485,@BBonny_M Je chassais le corona de mon périmètre 🤣🤣🤣,1,2
Sun Jul 19 12:34:59 +0000 2020,1284829085110358017,"@vincegoudreault @Zooboo44 @RiMartineau Le virus passe entre les mailles du masque... 🤦🏻‍♂️ 

Tu veux te protéger d… https://t.co/uak1lxyLYc",0,1
Sun Jul 19 12:34:13 +0000 2020,1284828891723464704,"RT @manoucoucou: @ChasseTroll @am_0713 @Salazar09199749 @GeneviveCaron18 @RiMartineau tu riras moins quand on t'imposera le vaccin....
parc…",4,0
Sun Jul 19 12:32:30 +0000 2020,1284828459185909761,rahhh le corona il me pète les couilles https://t.co/gOH4OnjzW3,0,0
Sun Jul 19 12:32:23 +0000 2020,1284828430136152065,"RT @NastiesB: @henlofren Les français: 
- en janvier: ""le corona c une grippe""
- en mars: ""y'a pas de masque""
- en confinement: ""oue bah c…",141,0
Sun Jul 19 12:31:47 +0000 2020,1284828281632587776,"En fait je t'explique boloss, la corona saloperie je l'ai eu et pas envie de la re-chopper, t'es sans masque dans u… https://t.co/FLdfv7J4xN",0,1
Sun Jul 19 12:31:35 +0000 2020,1284828228234944520,RT @___MBK___: Y ma pas vu depuis le début du corona il va faire un infarctus https://t.co/87S2QnlvQM,20,0
Sun Jul 19 12:31:20 +0000 2020,1284828166037610496,J’ai envie de partir en vacances seule mais vas y corona,0,1
Sun Jul 19 12:30:46 +0000 2020,1284828023368318981,"RT @l0losempai: Oki mes puces, j’ai besoin que vous partagiez et surtt que vs venez consommer au resto africain de ma sœur, la Case d’Aliêf…",668,0
Sun Jul 19 12:30:27 +0000 2020,1284827943181615104,RT @iamquent2: @lre_tes Au moins avec le corona tu peux mettre un masque pour le cacher,2,0
